Ngay,BienDoGiaTrongNgay,PhanTramThayDoiGiaMoDongCua
2025-05-02,0.720001220703125,0.20979234388658216
2025-05-05,0.7900009155273438,0.04185681605036444
2025-05-06,0.7399978637695312,0.055804848433371745
2025-05-07,1.0200042724609375,0.9481320323506747
2025-05-08,1.3400039672851562,-1.4265911673587013
2025-05-09,0.69000244140625,-0.6620668190539486
2025-05-12,1.6300048828125,-0.883824280963568
2025-05-13,0.8199996948242188,-0.9052985868242466
2025-05-14,0.7599945068359375,0.4065133853899969
2025-05-15,2.1300048828125,2.7403210125356323
2025-05-16,0.8300018310546875,0.1948224164477259
2025-05-19,0.529998779296875,-0.13882892658028986
2025-05-20,0.6999969482421875,-0.15320418617847045
2025-05-21,0.5,0.2231776081268959
2025-05-22,1.029998779296875,-0.9743833295172198
2025-05-23,1.2900009155273438,0.3214924861555925
2025-05-27,0.660003662109375,0.05575817775085996
2025-05-28,0.8499984741210938,-0.76707872492701
2025-05-29,1.2000045776367188,0.6901378362951144
2025-05-30,0.8600006103515625,0.6842589856069625
